Data621_Logistic_Regression (all predictor variables),
Variable Name,Short Description
zn,proportion of residential land zoned for large lots (over 25000 square feet)
indus,proportion of non-retail business acres per suburb
chas,a dummy var. for whether the suburb borders the Charles River (1) or not (0)
nox,nitrogen oxides concentration (parts per 10 million)
rm,average number of rooms per dwelling
age,proportion of owner-occupied units built prior to 1940
dis,weighted mean of distances to five Boston employment centers
rad,index of accessibility to radial highways
tax,"full-value property-tax rate per $10,000"
ptratio,pupil-teacher ratio by town
lstat,lower status of the population (percent)
medv,median value of owner-occupied homes in $1000s
target,whether the crime rate is above the median crime rate (1) or not (0)
